id,sentiment,text,created_at,coordinates,source,followers
,0,"RT @ESPNNFL: .@OBJ_3 with a shoutout to his QB Eli Manning, the only QB to beat Tom Brady's Patriots in a Super Bowl. https://t.co/My8JGWAW…",2017-02-05T21:43:49.000Z,,Twitter for iPhone,190
,1,"RT @bakedalaska: Patriots will win the Super Bowl because Tom Brady supports Trump and God is on our side!! 

God bless America!! 🇺🇸… ",2017-02-05T21:43:49.000Z,,Twitter for iPhone,686
,0,RT @SKabecheTV: ¿Por qué no fui como Tom Brady? 😭,2017-02-05T21:43:49.000Z,,Twitter for Android,76
,0,Mas o Brady é a pura arrogância com várias supeitas de falta de escrúpulos (por mais de uma vez). #NFLBrasil #SuperBowlnaESPN,2017-02-05T21:43:49.000Z,,Twitter for Android,43
,0,@Hometeam_BLeak @BFinn86 Scott Freaking Case!!!!   I think Goodell wants to fine him now for some of those brutal hits!,2017-02-05T21:43:49.000Z,,Twitter for iPhone,158
,0,RT @Acquired_Taste: Get off Tom Brady's dick! Sheeeeesh,2017-02-05T21:43:50.000Z,,Twitter for iPhone,821
,1,"RT @bycycle: Tom Brady's already a legend.
Five rings will make him the undisputed GOAT. #SuperBowl https://t.co/IbyEq9uKbE",2017-02-05T21:43:50.000Z,,Twitter for iPhone,238
,0,RT @strange_animal: I hate the @Patriots because Brady supports @realDonaldTrump,2017-02-05T21:43:50.000Z,,Twitter for iPhone,11270
,0,Tom Brady es tonto,2017-02-05T21:43:50.000Z,,Twitter for iPhone,2753
,1,RT @SportsDen2016: #Patriots #SuperBowl51 PROMO-RT &amp; FOLLOW &amp; Enter to WIN a SIGNED #TomBrady #SuperBowl36 Duke #Football #Brady… ,2017-02-05T21:43:50.000Z,,Twitter Web Client,2704
,1,"RT @NFLonFOX: Dear Tom, 

@ConanOBrien, @danawhite, @DonnieWahlberg &amp; more fans confess their love for Tom Brady. #SB51 https://t.co/Xn7ESg…",2017-02-05T21:43:50.000Z,,Twitter for iPhone,191
,1,RT @NFL: The Many Faces of Bill Belichick. #SB51 #Patriots https://t.co/tjdKQ1Ousj,2017-02-05T21:43:50.000Z,,Twitter for Android,287
,1,Matt Ryan is gunna prove why tom Brady shoulda been MVP,2017-02-05T21:43:50.000Z,,Twitter for iPhone,344
,1,RT @BestCoast: I hate football but I hope the Falcons win cuz the Patriots basically represent Trump's America and fuck Tom Brady- go ATL 🏈…,2017-02-05T21:43:50.000Z,,Twitter for iPhone,349
,0,#SuperBowlnaESPN espero que brady hj nao consiga fazer nada,2017-02-05T21:43:51.000Z,,Twitter for iPhone,24
,1,"That's a great picture, no matter who you like in this game. https://t.co/KqQM76nR6n",2017-02-05T21:43:51.000Z,,TweetDeck,50545
,0,RT @PHLEaglesNation: One of the best plays in recent #Eagles history! @MalcolmJenkins picks off Tom Brady and takes it back 100 yards fo… ,2017-02-05T21:43:51.000Z,,Twitter for iPhone,893
,1,RT @BleacherReport: The Dynasty starts and ends with Brady and Belichick. https://t.co/FICaAnYb5T,2017-02-05T21:43:51.000Z,,Twitter for iPhone,1208
,1,Oh man he bout to shake some up foreal tonight 😩 https://t.co/xIhs6wnhsh,2017-02-05T21:43:51.000Z,,Twitter for iPhone,322
,0,Praying Tom Brady gets his first concussion today. Pound his ass into the turf boyz. He hates getting hit,2017-02-05T21:43:52.000Z,,Twitter for iPhone,14
,0,Those cleats are the ugliest cleats I've ever seen😂😭 https://t.co/f9dMI7HURq,2017-02-05T21:43:52.000Z,,Twitter for iPhone,597
,0,@IM_LEAL_RAW @rmpalermo7 Tom Brady 🐐 Luis you tweakin,2017-02-05T21:43:52.000Z,,Twitter for iPhone,553
,1,Tom Brady is the Lebron James of the NFL,2017-02-05T21:43:52.000Z,,Twitter for iPhone,387
,0,Brady faz declarações polêmicas no @benshapiro talk show para fazer campanha para esquerda #FalconsCampeão #RiseUp,2017-02-05T21:43:52.000Z,,Twitter Web Client,41
,1,Falcons are a great team but Tom Brady is too damn good so I'm going with the Pats,2017-02-05T21:43:52.000Z,,Twitter for iPhone,187
,1,"Brady si estás leyendo esto (se que lo haces, prro) chingas a tu madre, me cagas y vas a perder hoy",2017-02-05T21:43:52.000Z,,Twitter for iPhone,177
,1,"QUEM VAI BRILHAR NO SUPER BOWL LI? Tom Brady ou Matt Ryan? #PatriotsCampeão #FalconsCampeão

Ryan - &lt;3
Brady - RT https://t.co/ui5uGOPDn7",2017-02-05T21:43:52.000Z,,Twitter Web Client,1761129
,1,@POTUS has the @Patriots by 8pts over the @AtlantaFalcons says he's rooting for his friend Tom Brady #SuperBowl,2017-02-05T21:43:52.000Z,,Twitter for iPhone,1294
,1,RT @BostonDotCom: ‘Brady’s Ladies’ are ready for Super Bowl LI https://t.co/nX6epzYPq8 https://t.co/SDwGd3IBy2,2017-02-05T21:43:52.000Z,,Twitter for Android,27
,1,I want Roger Goodell to personally hand Tom Brady the Lombardi Trophy tonight.,2017-02-05T21:43:52.000Z,,Twitter for Android,1029
,1,I'm pulling for Pats bc Brady but gotta love Marty Ice,2017-02-05T21:43:53.000Z,,Twitter for iPhone,311
,,Belichick just meeting with officials outside #Patriots locker room. What Mike Pereira told me about those meetings. https://t.co/pvrpkKao1W,2017-02-05T21:43:52.000Z,,Echofon,15172
,,RT @SKabecheTV: ¿Por qué no fui como Tom Brady? 😭,2017-02-05T21:43:53.000Z,,Twitter for Android,185
,,"@EliotShorrParks @njdotcom 1st week, I had a feeling about the Falcons. Weeks 2 I thought ""am I nuts?""  You don't go against Brady &amp; Bill",2017-02-05T21:43:53.000Z,,Twitter for iPad,82
,,Las que estaban con las camisetas de sñoras de Brady eran su muker y compañía @Radioestadio https://t.co/k5XkDQ3oqc,2017-02-05T21:43:52.000Z,,Twitter for Android,67
,,"RT @RachelGBowers: jacoby brissett rolled to work today in a shirt with a pic of him, brady, and garoppolo on it. nice… ",2017-02-05T21:43:53.000Z,,Twitter for iPhone,353
,,Beligoat going to run up the score now https://t.co/94FALwHWHv,2017-02-05T21:43:53.000Z,,Twitter for iPhone,1362
,,"I'm not a Pats fan but because the media hates that Brady and the coach and owner like Trump, pulling for the Pats.",2017-02-05T21:43:54.000Z,,Twitter for iPhone,2023
,,I low key want Brady to win ring 5 so I never have to root for the pats again.,2017-02-05T21:43:54.000Z,,Twitter for iPhone,377
,,"RT @AltStateDpt: Tillerson raved about the Patriots. Brady, Belichick &amp; Kraft are all Trump supporters.

Today, we say #RiseUp #GoFalcons",2017-02-05T21:43:54.000Z,,Twitter for iPhone,18
,,RT @VH1PNUT_: IF TOM BRADY WINS TODAY JUST RETIRE BRO. OK WE GET IT YOU BETTER THAN JOE MANTANA JUST GO AWAY,2017-02-05T21:43:54.000Z,,Twitter for iPhone,1046
,,RT @PHLEaglesNation: One of the best plays in recent #Eagles history! @MalcolmJenkins picks off Tom Brady and takes it back 100 yards fo… ,2017-02-05T21:43:54.000Z,,Twitter for iPhone,824
,,"Nem assisto essa merda direito, mas foda-se, tom brady vai amassar mrm",2017-02-05T21:43:54.000Z,,Twitter Web Client,306
,,RT @NFL_Memes: Roger Goodell right now.. https://t.co/08ePp3rZcZ,2017-02-05T21:43:54.000Z,,Twitter for iPhone,298
,,RT @SportsDen2016: #Patriots #SuperBowl51 PROMO-RT &amp; FOLLOW &amp; Enter to WIN a SIGNED #TomBrady #SuperBowl36 Duke #Football #Brady… ,2017-02-05T21:43:54.000Z,,Twitter Web Client,269
,,"@miguelangeldaza Los #Patriots son lo mejorcito. Por Mr Brady, básicamente, que es uno de mis mayores ídolos deportivos. No soy objetiva :)",2017-02-05T21:43:55.000Z,,Twitter Web Client,602
,,"RT @ThRealBallsDeep: Q:What do Tom Brady and Ellen Degeneres have in common?

A:They both have hot wives and sit when they pee.",2017-02-05T21:43:55.000Z,,Twitter for iPhone,35452
,,RT @NFL: The Many Faces of Bill Belichick. #SB51 #Patriots https://t.co/tjdKQ1Ousj,2017-02-05T21:43:55.000Z,,Twitter for Android,779
,,RT @BleacherReport: The Dynasty starts and ends with Brady and Belichick. https://t.co/FICaAnYb5T,2017-02-05T21:43:56.000Z,,Twitter for iPad,162
,,Tom Brady's clip about his dad being his hero straight into ZBB's My Old Man is some good stuff,2017-02-05T21:43:57.000Z,,Twitter for iPhone,635
,,plus I jus can't stand Brady anyway 😝😝😝😝😝😝😝😝😝 https://t.co/Nf49jiwiah,2017-02-05T21:43:57.000Z,,Twitter for Android,177
,,Mættur á bar downtown Boston. Allir í Brady treyju nema ég. Þetta verður eitthvað. #nflisland,2017-02-05T21:43:57.000Z,,Twitter for iPhone,399
,,RT @NFL: The Many Faces of Bill Belichick. #SB51 #Patriots https://t.co/tjdKQ1Ousj,2017-02-05T21:43:57.000Z,,Twitter for iPad,90
,,RT @BleacherReport: The Dynasty starts and ends with Brady and Belichick. https://t.co/FICaAnYb5T,2017-02-05T21:43:57.000Z,,Twitter for iPhone,158
,,"Three RQBs: 1. Atlanta win, +58.5 points, Edelman, Jones and Sanu TD's, Ryan and Brady 200+ pass yards each - 50/1.",2017-02-05T21:43:57.000Z,,Twitter for iPhone,486
,,Fuck Tom Brady,2017-02-05T21:43:57.000Z,,Twitter for iPhone,221
,,Kinda excited to watch Brady play in another super bowl. But he's gotta lose this time again,2017-02-05T21:43:57.000Z,,Twitter for iPhone,562
,,"RT @Spark_Sports_: For the first time all season, both Tom Brady's mom and dad will attend one of his games. Goosebumps. https://t.co/w9zUe…",2017-02-05T21:43:57.000Z,,Twitter for iPhone,356
,,#GOPATS #Brady been a fan since his days at #Michigan #GOBLUE,2017-02-05T21:43:57.000Z,,Twitter for iPad,1813
,,RT @barstoolsports: Pats vs Goodell...also featuring the Falcons https://t.co/clqTAT5FJm,2017-02-05T21:43:57.000Z,,Twitter for iPhone,526
,,"RT @BleacherReport: Tom Brady dubbed the Patriots QBs “The Wolf Pack.""

Jacoby Brissett just took things to the next level #SB51… ",2017-02-05T21:43:57.000Z,,Twitter for iPhone,1511
,,@RapSheet calling it now. Brady gets hurt in third with pats down a touchdown and garrapalo comes in and wins game.,2017-02-05T21:43:58.000Z,,Twitter for iPhone,483
,,@EliMiller Who do you think @USGA Pres. is routing for tonight? Tim Brady or Mike Ryan?,2017-02-05T21:43:58.000Z,,Twitter Web Client,582
,,RT @ThePatriot143: NFL legend Mike Ditka Gives EPIC Response to Reporters Asking Tom Brady to Denounce Trump #SuperBowlSunday https://t.co/…,2017-02-05T21:43:58.000Z,,Twitter for iPhone,124
,,@jzak0928 what he doesn't know is his aunt has a Brady signed ball. He won't get it until August when we meet up in Fl,2017-02-05T21:43:58.000Z,,Twitter for iPad,257
,,RT @ColinCowherd: One of Brady's warmup throws got away from him. https://t.co/1kE1QyiIHJ,2017-02-05T21:43:58.000Z,,Twitter for iPhone,638
,,RT @gpa46: Go Falcons! https://t.co/opvs560gek,2017-02-05T21:43:58.000Z,,Twitter for iPad,107
,,RT @NFL_Memes: Roger Goodell right now.. https://t.co/08ePp3rZcZ,2017-02-05T21:43:58.000Z,,Twitter for Android,208
,,RT @OnlyInBOS: A message from one 🐐 to another 🐐...#SuperBowl https://t.co/eUNUWGEDGA,2017-02-05T21:43:59.000Z,,Twitter for iPhone,273
,,"RT @espn: Tom Brady's mom has been battling illness. His dad has only been to one game this year.

They will both be at… ",2017-02-05T21:43:59.000Z,,Twitter for iPhone,588
,,RT @oneill_31: Goodell loves isis @NFL,2017-02-05T21:43:59.000Z,,Twitter for iPhone,460
,,Fox is really eating Tom Brady's ass right now,2017-02-05T21:43:59.000Z,,Twitter for Android,1274
,,Espero que sejam para assinalar um TD Brady--&gt;Edelman https://t.co/FZxDPpAF0V,2017-02-05T21:43:59.000Z,,Twitter Web Client,257
,,Fuck Tom Brady,2017-02-05T21:44:00.000Z,,Twitter for iPhone,186
,,White jokes are funny https://t.co/9V3ab1vups,2017-02-05T21:44:00.000Z,,Twitter for iPhone,5319
,,Tom Brady: Making the NFL Great Again https://t.co/EwrtX04Xlp,2017-02-05T21:43:59.000Z,,Twitter for iPhone,2995
,,RT @the_ironsheik: TONIGHT I GO WITH MY HOME TEAM ATLANTA. TOM BRADY DESERVE THE SUPLEX LETS SEE WHAT HAPPENS,2017-02-05T21:44:00.000Z,,Twitter for iPhone,66
,,@NFLonFOX Tom Brady. Is our real Mvp tonight. Game against Atlanta falcons offensive,2017-02-05T21:44:00.000Z,,Twitter for Android,44
,,@Joakinzillo da lo mismo!! Se gana hoy y Brady se coloca su 5to anillo !!,2017-02-05T21:44:00.000Z,,Twitter for iPhone,113
,,"RT @247Sports: Gisele Bündchen posts picture of Tom Brady's family at #SB51, including ill mother who almost had to miss game: [… ",2017-02-05T21:44:00.000Z,,Twitter for iPhone,784
,,RT @ThePatriot143: NFL legend Mike Ditka Gives EPIC Response to Reporters Asking Tom Brady to Denounce Trump #SuperBowlSunday https://t.co/…,2017-02-05T21:44:00.000Z,,Twitter for iPhone,757
,,I kinda have a crush on Matty!! 😍😍😍 shld be fun game Brady n Matty.. https://t.co/R3KJkIc1UT,2017-02-05T21:44:00.000Z,,Twitter for iPhone,318
,,RT @realDonaldTrump: People are so jealous of Tom Brady and the Patriots. No court could convict based on the evidence.They can't beat him…,2017-02-05T21:44:00.000Z,,Twitter for iPhone,2003
,,RT @rezaaslan: As a life-long @RAIDERS fan I have never ever rooted for the NFC in a #SuperBowl. But screw the Pats and screw Tom Brady.  #…,2017-02-05T21:44:00.000Z,,Twitter for iPhone,158
,,"RT @Spark_Sports_: For the first time all season, both Tom Brady's mom and dad will attend one of his games. Goosebumps. https://t.co/w9zUe…",2017-02-05T21:44:01.000Z,,Twitter for iPhone,649
,,RT @jandersonn630: good morning to everyone except Tom Brady,2017-02-05T21:44:01.000Z,,Twitter for iPhone,1143
,,"RT @DonnieWahlberg: Dear #TomBrady!

#SuperBowl #goPats #SB51 https://t.co/jHDOXQtrRH",2017-02-05T21:44:01.000Z,,Twitter for iPhone,638
,,RT @BleacherReport: The Dynasty starts and ends with Brady and Belichick. https://t.co/FICaAnYb5T,2017-02-05T21:44:01.000Z,,Twitter for iPhone,15
,,Brady still will be on of the GOAT,2017-02-05T21:44:01.000Z,,Twitter Web Client,840
,,@KingRello @larryislegend bet him the dub Rello. Fuck that mog Brady.,2017-02-05T21:44:01.000Z,,Twitter for iPhone,1365
,,#SB51 #PropBets 1st Touchdown Freeman #Falcons MVP as well if they win. #Patriots MVP of course Brady #NationalAnthem 1:46 seconds &amp; Tails,2017-02-05T21:44:01.000Z,,Twitter for Android,1382
,,RT @Mark__Snyder: Tom Brady: 'I'd do anything to help' Michigan https://t.co/C8B2nICsB3 via @davebirkett,2017-02-05T21:44:02.000Z,,Twitter for iPhone,494
,,RT @bobsacard: NFL YOU HAVE BEEN WARNED LADY GAGA GOES OFF ON TRUMP OR USA WE WILL GO OFF ON NFL #boycottSuperbowl #boycottnfl… ,2017-02-05T21:44:02.000Z,,Twitter for iPhone,83
,,"Tom Brady, Bobby Orr &amp; Larry Bird Jerseys's @ Buffalo Wild Wings https://t.co/vczMtu4FZd",2017-02-05T21:44:02.000Z,"{""type"":""Point"",""coordinates"":[-71.72012792,42.27624514]}",Instagram,22
,,RT @TopShelfBreaks: RT win if Brady throws 3 TD #SuperBowl be sure to follow @PaniniAmerica @SouthernHobby for all collecting needs… ,2017-02-05T21:44:02.000Z,,Twitter for Android,1278
,,"I've never been a big patriots fan, but I would love to see Tom Brady snatch that fifth Super Bowl win.",2017-02-05T21:44:02.000Z,,Twitter for iPhone,1006
,,"RT @NFL: Tom Brady becomes emotional after a 7-year-old kid reporter asks...

""Who's your hero?"" #SBOpeningNight #SB51 https://t.co/TZBMPXD…",2017-02-05T21:44:02.000Z,,Twitter for Android,258
,,RT @ConanOBrien: Tom Brady joined me for this year's #SuperBowl #CluelessGamer and I only shit my pants a little bit. https://t.co/9cjcK3CZ…,2017-02-05T21:44:02.000Z,,Twitter for Android,956
,,"@MissLizzyNJ I'm a Giants fan, we beat them twice in the Super Bowl! I will support &amp; root for the Patriots today. Let's go Brady! #MAGA",2017-02-05T21:44:02.000Z,,Twitter for iPhone,239
,,"I like Tom Brady, but Atlanta is closer than Boston, so gotta go with the Falcons!",2017-02-05T21:44:03.000Z,,Twitter for iPhone,823
,,RT @natgeowild: Shipwrecks Ryan takes a play right out of Billfish Belichick's playbook. #FishBowl https://t.co/kut3iFOm2J,2017-02-05T21:44:03.000Z,,Twitter Web Client,333
,,RT @BoucherMitch: I think Brady's ready. LETS GOOO https://t.co/Wj3W7S2F8e,2017-02-05T21:44:03.000Z,,Twitter for iPhone,485
,,RT @bobsacard: NFL YOU HAVE BEEN WARNED LADY GAGA GOES OFF ON TRUMP OR USA WE WILL GO OFF ON NFL #boycottSuperbowl #boycottnfl… ,2017-02-05T21:44:03.000Z,,Twitter for Android,1478
,,RT @Anthglony: Tom Brady looks like he would be more comfortable standing next to two venomous snakes https://t.co/FNSG6OV7Mw,2017-02-05T21:44:03.000Z,,Twitter for iPhone,5319
,,RT @follow_bdavis: Aaron Hernandez had an opportunity to play in multiple Super Bowls next to Tom Brady. Idiot is an understatement.,2017-02-05T21:44:03.000Z,,Twitter for iPhone,1278
,,GO whichever team doesn't have Tom Brady on it GO!,2017-02-05T21:44:03.000Z,,Twitter Web Client,4255
,,"RT @EdgeofSports: Again: the question is not what Tom Brady thinks of Trump. It's the way Trump constantly uses Brady as a prop, followed b…",2017-02-05T21:44:04.000Z,,Twitter for Android,725
,,@PatTampagirl716 @haibon_jared I think the point is Tom Brady.,2017-02-05T21:44:04.000Z,,Twitter Web Client,63
,,@GeorgeTakei  Donald Trump has seen Tom Brady's balls and assures the people that they are not deflated.,2017-02-05T21:44:04.000Z,,Mobile Web (M5),277
,,@adChurley https://t.co/FsGrmHRzTY,2017-02-05T21:44:04.000Z,,Twitter for iPhone,205
,,"RT @TomFcknBrady: Who's winning #SuperBowl51 

RT for Brady &amp; #Patriots
LIKE for Ryan &amp; #Falcons https://t.co/W0ZRK7l6FU",2017-02-05T21:44:04.000Z,,Twitter for iPhone,2326
,,"RT @Goldberg: It's going to be a long, long day for Tom Brady and his buddy @TheRock #RiseUp #Superbowl https://t.co/SvdUxtQ2ge",2017-02-05T21:44:04.000Z,,Twitter for Android,51
,,VIDEO: Tom Brady: 'Been a challenging year' for family #SB51 https://t.co/RJiva5vekQ,2017-02-05T21:44:05.000Z,,SocialFlow,70574
,,Its always been Tom Brady K,2017-02-05T21:44:05.000Z,,Twitter for iPhone,615
,,"RT @joshabbottband: #SB51

#Patriots 42
#RiseUp 27

Brady wins MVP and replaces my childhood hero Montana as the GOAT!",2017-02-05T21:44:05.000Z,,Twitter for iPhone,132
,,"Tom Brady, Bobby Orr &amp; Larry Bird Jerseys's @ Buffalo Wild Wings https://t.co/vczMtu4FZd",2017-02-05T21:44:02.000Z,"{""type"":""Point"",""coordinates"":[-71.72012792,42.27624514]}",Instagram,22
,,RT @NFL: The Many Faces of Bill Belichick. #SB51 #Patriots https://t.co/tjdKQ1Ousj,2017-02-05T21:44:05.000Z,,Twitter for iPhone,299
,,@DenishaBieberx hell yeah I predict we're gonna win this we have the BEST and HOTTEST quarterback I love Tom Brady he's a cutie 😍💕,2017-02-05T21:44:06.000Z,,Twitter for iPhone,1963
,,"Ojalá hoy si le peguen a Brady. Mínimo quiero ver 5 veces que lo bajen. Ya si ganan me da igual , pero quiero ver a ese cabrón en el pasto",2017-02-05T21:44:06.000Z,,Twitter for Android,203
,,"What's next for Patriots after Super Bowl? Questions on Tom Brady, Jimmy Garoppolo - USA TODAY https://t.co/i6QVWgpESb",2017-02-05T21:44:06.000Z,,DestroyTwitter,8038
,,Hmmmm falcons offense or brady/belichick domination 🤔 #SB51,2017-02-05T21:44:06.000Z,,Twitter for iPhone,307
,,Tom Brady torn ACL #GoFalcons #SuperBowlnaESPN,2017-02-05T21:44:06.000Z,,Twitter Web Client,43
,,RT @4Shibby20: Brady likes Trump so I hope he loses lol,2017-02-05T21:44:06.000Z,,Twitter for Android,282
,,RT @Matt_LaPan: This is tremendous #Patriots #SuperBowl https://t.co/rCkpoUxDQR,2017-02-05T21:44:07.000Z,,Twitter for iPhone,406
,,RT @lopezpiquer: Hoy toca Superbowl! #Falcons #BradyIsForTrump #SuperBowl #F***Brady,2017-02-05T21:44:07.000Z,,Twitter for Android,239
,,Hate Brady with A Passion though but I respect Greatness,2017-02-05T21:44:07.000Z,,Twitter for Android,122
,,"RT @THR: Trump says Tom Brady is a ""winner"" in pre-#SuperBowl interview: ""You have to stick up for your friends, right?"" https://t.co/1SU95…",2017-02-05T21:44:08.000Z,,Twitter for iPhone,100
,,RT @BleacherReport: The Dynasty starts and ends with Brady and Belichick. https://t.co/FICaAnYb5T,2017-02-05T21:44:08.000Z,,Twitter for iPhone,444
,,"Feinstein: Extension 'brilliant move' by Patriots, Brady #TomBrady https://t.co/qumJGLsZKW",2017-02-05T21:44:08.000Z,,dlvr.it,21615
,,RT @NFL_Memes: Roger Goodell right now.. https://t.co/08ePp3rZcZ,2017-02-05T21:44:08.000Z,,Twitter for Android,76
,,Cool https://t.co/raRLWKYcYN,2017-02-05T21:44:08.000Z,,Twitter for iPhone,291
,,"RT @BleacherReport: Tom Brady dubbed the Patriots QBs “The Wolf Pack.""

Jacoby Brissett just took things to the next level #SB51… ",2017-02-05T21:44:08.000Z,,Twitter for iPhone,343
,,"I would LOVE to see Brady throw a football and hit Gag me in the face if she badmouths Trump, I would.",2017-02-05T21:44:08.000Z,,Twitter for Windows,2265
,,Lol one of em look like Brady with a wig on sheesh https://t.co/Dzei8HvGTw,2017-02-05T21:44:08.000Z,,Twitter for Android,362
,,"RT @Esp_Interativo: QUEM VAI BRILHAR NO SUPER BOWL LI? Tom Brady ou Matt Ryan? #PatriotsCampeão #FalconsCampeão

Ryan - &lt;3
Brady - RT https…",2017-02-05T21:44:09.000Z,,Twitter for iPhone,384
